EMP_ID,EMPLOYEE_NAME,DISTRICT_ID,DISTRICT_NAME,ZIPCODE,HIREDATE,HIGHEST_EARNED_DEGREE,IS_ADMIN,IS_TEACHER,EDU_EMAIL,PREVIOUS_EXPERIENCE_YEARS,years_of_service,total_experience,seniority_level,promotion_eligible,TAX_YEAR,REG_PAY,OVERTIME_PAY,OTHER_PAY,TOTAL_BENEFITS,total_compensation,DATE_LAST_CALC,_gold_ingested_at
10001,Francisca Arthur,3,Beverly Hills Unified,90211,2004-09-09,Master     ,TRUE,FALSE,farthu57@k12.ca.eDu,12,21,33,Senior,TRUE,2014,249000,0,6000,28807,283807,2015-07-31,2026-05-02 17:38:12
10002,Nannette Frondel,2,Compton Unified,90059,1996-08-06,Master     ,TRUE,FALSE,nfrond79@k12.ca.Edu,12,29,41,Senior,TRUE,2014,241261,0,0,27124,268385,2015-06-10,2026-05-02 17:38:12
10003,Vonni Oro,1,Ontario-Montclair,91762,2008-09-20,Doctorate  ,TRUE,FALSE,voro64@k12.ca.edU,13,17,30,Mid-Senior,TRUE,2014,263655,0,133169,40336,437160,2015-06-30,2026-05-02 17:38:12
10004,Carlos Calkins,4,San Francisco Unified,94104,1996-05-11,Master     ,TRUE,FALSE,ccalki65@k12.ca.eDU,14,29,43,Senior,TRUE,2014,277678,0,4286,36551,318515,2015-06-06,2026-05-02 17:38:12
10005,Farly Burkholder,4,San Francisco Unified,94104,2014-01-05,Master     ,TRUE,FALSE,fburkh78@k12.ca.EDu,9,12,21,Mid-Senior,TRUE,2014,181597,0,33262,54476,269335,2015-05-25,2026-05-02 17:38:12
10006,Basile Kindlund,2,Compton Unified,90262,2000-03-19,Master     ,FALSE,TRUE,bkindl91@k12.ca.edu,4,26,30,Senior,TRUE,2014,78621,690,0,10032,89343,2015-02-11,2026-05-02 17:38:12
10009,Roma Mocroft,4,San Francisco Unified,94110,1992-06-11,Bachelor   ,TRUE,FALSE,rmocro34@k12.ca.edu,4,33,37,Senior,TRUE,2014,70201,0,7304,17229,94734,2015-05-31,2026-05-02 17:38:12
10013,Damien Soibelman,1,Ontario-Montclair,91763,1996-04-12,Master     ,FALSE,TRUE,dsoibe24@k12.ca.edu,4,30,34,Senior,TRUE,2014,84888,0,2306,17242,104436,2015-06-06,2026-05-02 17:38:12
10015,Skip Krezel,4,San Francisco Unified,94110,1996-09-15,Bachelor   ,FALSE,TRUE,skreze66@k12.ca.edu,1,29,30,Senior,TRUE,2014,26277,0,7985,9649,43911,2015-04-08,2026-05-02 17:38:12
10016,Hayley Sands,1,Ontario-Montclair,91763,1996-06-14,Bachelor   ,FALSE,TRUE,hsands95@k12.ca.edu,1,29,30,Senior,TRUE,2014,27634,0,928,6126,34688,2015-03-21,2026-05-02 17:38:12
